A_cm2,bo_mm,bo_1_5_mm,de,fc_MPa,p_percent,Er_GPa,Vu_kN
56.25,544,1032,61,42.4,0.95,113,93
56.25,544,1032,61,44.6,0.95,113,78
100,644,1132,61,39,0.95,113,96
100,644,1132,61,36.6,0.95,113,99
78.5,486.7,832.1,55,41,0.31,100,65
78.5,486.7,832.1,55,52.9,0.31,100,61
78.5,486.7,832.1,55,41.5,0.31,100,72
625,1304,1912,76,30,2.05,143,186
625,1304,1912,76,30,2.05,143,179
625,1304,1912,76,30,1.81,143,199
625,1304,1912,76,30,2.05,156,198
625,1304,1912,76,30,1.81,156,201
625,1304,1912,76,30,1.49,156,190
1293.75,2300,3700,175,43,1,41.3,500
1293.75,2300,3700,175,43,1,41.3,1050
1293.75,2300,3700,175,43,1,39.3,875
1293.75,2300,3700,175,43,1,39.3,1090
1293.75,2300,3700,175,43,1,39.3,1180
1293.75,2300,3700,175,55,1,100,1000
1293.75,2300,3700,175,55,1,100,1200
1293.75,2300,3700,175,55,1,100,1328
1293.75,2300,3700,175,45,1,160,1055
1293.75,2300,3700,175,45,1,160,1096
1293.75,2300,3700,175,45,1,160,1183
176.625,772.44,1375.32,96,37.3,0.27,91.8,181
415.265,1020.5,1617.1,95,35.7,0.27,91.8,189
176.625,769.3,1365.9,95,36.3,1.05,95,255
415.265,1020.5,1617.1,95,36.3,1.05,95,273
176.625,866.64,1657.92,126,33.8,0.52,92,347
415.265,1117.84,1909.12,126,34.3,0.52,92,343
176.625,769.3,1365.9,95,32.6,0.19,148,142
415.265,1020.5,1617.1,95,33.2,0.19,148,150
176.625,769.3,1365.9,95,118,0.62,37.3,207
176.625,750.46,1309.38,89,35.8,3.76,40.7,231
50.24,530.66,1089.58,89,35.9,3.76,40.7,171
176.625,854.08,1620.24,122,32.1,1.22,44.8,237
50.24,634.28,1400.44,122,32.1,1.22,44.8,217
375,1448,2744,162,42,0.28,85,622
375,1448,2744,162,42,0.28,85,698
375,1448,2744,162,42,0.28,85,575
375,1448,2744,162,42,0.28,85,534
375,1448,2744,162,42,0.28,85,584
1293.75,2260,3580,165,59,0.57,147,1000
1293.75,2260,3580,165,59,0.57,147,1200
1293.75,2260,3580,165,59,0.57,147,1328
1250,2052,3156,138,35,2.4,42,756
400,1368,2504,142,33.3,0.22,45,170
400,1368,2504,142,34.7,0.18,110,229
400,1368,2504,142,46.6,0.47,45,271
400,1368,2504,142,30.3,0.47,45,237
400,1368,2504,142,29.6,0.43,110,317
625,1480,2440,120,29.5,0.73,34,217
625,1480,2440,120,28.9,1.46,34,260
625,1480,2440,120,37.5,0.87,28.4,206
625,1300,1900,75,45,1,100,234
625,1400,2200,100,40,1.18,42,249
625,1400,2200,100,35,1.05,42,218
625,1400,2200,100,29,1.67,42,240
625,1400,2200,100,26,0.95,42,210
1587.5,2470,3870,175,27.6,0.98,33,537
1587.5,2470,3870,175,27.6,0.98,33,536
1587.5,2470,3870,175,27.6,0.95,33,531
1587.5,2470,3870,175,27.6,0.98,33,721
1587.5,2470,3870,175,27.6,0.98,33,897
1500,2336,3608,159,49.6,1,44.6,740
1500,2336,3608,159,44.3,1.99,38.5,712
1500,2336,3608,159,49.2,1.21,46.5,732
1500,2360,3680,165,49.6,0.35,122.5,674
1500,2360,3680,165,44.3,0.69,122.5,799
625,1400,2200,100,35,1.05,42,218
625,1400,2200,100,71,1.18,42,275
625,1400,2200,100,31,0.41,120,251
625,1400,2200,100,33,0.54,120,293
625,1400,2200,100,25.7,0.75,120,285
625,1400,2200,100,35.9,0.54,120,325
625,1400,2200,100,38.6,0.75,120,360
625,1600,2800,150,85.6,0.36,120,399
625,1600,2800,150,98.3,0.5,120,446
625,1440,2320,110,70,1,41,282
625,1440,2320,110,70,1.2,41,319
625,1440,2320,110,70,1.5,41,384
625,1640,2920,160,70,1.2,41,589
625,1580,2740,145,70,1.2,41,487
625,1540,2620,135,70,1.2,41,437
625,1480,2440,120,25,1.37,100,188
625,1480,2440,120,27,0.94,100,156
625,1480,2440,120,55,1.37,100,211
625,1324,1972,81,28,1.37,100,97
1125,1880,2840,120,26,1.37,100,196
875,1604,2412,101,28,1.48,100,178
625,1400,2200,100,57.6,1.48,100,272
1500,2324,3572,156,44.1,1.2,44.5,707
1500,2324,3572,156,44.1,1.2,44.5,735
400,1128,1784,82,37.4,1.1,46,165
400,1248,2144,112,33,0.81,46,170
400,1128,1784,82,38.2,1.29,46,210
400,1128,1784,82,39.7,1.54,46,230
506.25,1340,2220,110,36.3,1.17,48.2,222
506.25,1340,2220,110,36.3,2.14,48.2,246
506.25,1340,2220,110,36.3,3,48.2,248
506.25,1340,2220,110,33.8,3,48.2,330
225,1140,2220,135,33.5,0.29,100,145
225,1140,2220,135,35.6,0.55,100,275
225,1140,2220,135,32.8,0.42,100,235
225,1140,2220,135,32.5,0.42,100,225
225,1140,2220,135,22.6,0.42,100,170
225,1140,2220,135,41.8,0.42,100,235
225,1140,2220,135,40.6,0.42,100,200
6.25,280,640,45,47.8,0.78,76,44
6.25,280,640,45,47.8,0.78,76,45
6.25,280,640,45,47.8,0.24,230,39
6.25,280,640,45,47.8,0.24,230,45
6.25,280,640,45,47.8,0.24,230,63
6.25,280,640,45,179,0.24,230,97
6.25,280,640,45,179,0.24,230,98
225,1120,2160,130,22.16,0.42,45.6,176
225,1120,2160,130,32.46,0.42,45.6,209
225,1120,2160,130,32.4,0.55,45.6,245
225,1120,2160,130,32.8,0.29,45.6,167
225,1120,2160,130,33.2,0.42,45.6,217
225,1120,2160,130,28.32,0.42,45.6,222
225,1120,2160,130,46.05,0.42,45.6,253
1500,2320,3560,155,49.1,1.2,43,732
1500,2240,3320,135,35.2,1.2,43,484
1500,2140,3020,110,35.2,1.2,43,362
1500,2240,3320,135,64.8,1.2,43,704
1500,2240,3320,135,53.1,0.7,43,549
1500,2248,3344,137,53.1,0.35,43,506
1500,2260,3380,140,40.3,0.4,122,530
225,1120,2160,130,22.2,0.42,45.6,176
225,1120,2160,130,32.5,0.42,45.6,209
225,1120,2160,130,32.4,0.55,45.6,245
225,1120,2160,130,32.8,0.29,45.6,167
225,1120,2160,130,44.4,0.42,45.6,252
400,1320,2360,130,48.8,0.48,48,180
400,1320,2360,130,48.8,0.68,48,212
400,1320,2360,130,48.8,0.92,48,244
900,1736,2808,134,34.3,0.71,48.2,329
900,1724,2772,131,38.6,1.56,48.1,431
900,1724,2772,131,75.8,1.56,57.4,547
900,1724,2772,131,37.5,1.21,64.9,438
900,2336,4608,284,34.3,0.34,48.2,825
900,2336,4608,284,39.4,0.73,48.1,1071
900,2300,4500,275,38.2,1.61,56.7,1492
900,2300,4500,275,75.8,1.61,56.7,1600
900,1736,2808,134,38.6,0.71,48.2,386
900,1736,2808,134,44.9,0.71,48.2,400
